Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
8/1/2022,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.070495228,1126.73
3/15/2023,Roberto Rose,Richard Pierce,Nissan,F-150,2016,38474,0.134438837,5172.4
4/29/2023,Ashley Ramos,Sandra Moore,Ford,Civic,2016,33340,0.114535922,3818.63
9/4/2022,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.092190722,3866.2
6/16/2022,Eric Lopez,Vanessa Jones,Honda,Silverado,2022,20256,0.113489793,2298.85
12/18/2022,Terry Perkins MD,John Olsen,Ford,Altima,2015,14769,0.077246935,1140.86
6/12/2022,Ashley Brown,Tyler Lawson,Honda,F-150,2013,41397,0.14278012,5910.67
6/20/2022,Norma Watkins,Michael Bond,Ford,Altima,2015,46233,0.071623758,3311.38
9/2/2022,Scott Parker,Stephanie Smith,Ford,Corolla,2021,27337,0.099503651,2720.13
4/6/2023,Andrew Smith,Ashley Moreno DDS,Ford,Civic,2018,16309,0.149925782,2445.14
3/12/2023,Harold Nelson,Isaac Patton,Honda,Silverado,2021,41259,0.09254116,3818.16
1/29/2023,Richard Richardson,Justin Gray,Toyota,Silverado,2022,48224,0.090592146,4368.72
5/29/2022,Mia Acosta,Rebecca Best,Ford,Altima,2017,36409,0.122348852,4454.6
8/12/2022,Lisa Campbell,Lisa Anderson,Toyota,F-150,2011,29628,0.112326294,3328
4/6/2023,Carrie Howard,Rodney Black,Chevrolet,Altima,2021,10313,0.103874895,1071.26
12/21/2022,James Velasquez,Natalie Thompson,Honda,Corolla,2016,36607,0.055250978,2022.57
8/12/2022,Kristin Holmes,Michael Hill,Nissan,Altima,2010,39916,0.052007775,2075.94
8/23/2022,Amy Solomon,Taylor Moore,Nissan,Silverado,2018,18482,0.086185324,1592.88
10/18/2022,William Williams,Jordan Taylor,Toyota,Civic,2013,17158,0.127227796,2182.97
3/9/2023,Patricia Reynolds,Alison Walker,Ford,Altima,2014,28796,0.093451209,2691.02
9/28/2022,Michelle Gonzalez,Juan Davies,Ford,Corolla,2014,24128,0.084780882,2045.59
12/20/2022,Jennifer Morris,Kristin Robinson,Toyota,Civic,2011,36895,0.128288109,4733.19
7/26/2022,Jeremiah Thompson,Clifford Evans,Nissan,Altima,2013,16797,0.144237331,2422.75
7/18/2022,Matthew White,Nancy Martinez,Chevrolet,Altima,2020,30184,0.136991193,4134.94
12/19/2022,Jason Riley,Ruben Gomez,Nissan,Civic,2010,41587,0.084404408,3510.13
2/15/2023,Faith Pierce,Jimmy Dunn,Honda,Silverado,2016,35279,0.063399664,2236.68
6/23/2022,Samuel Brown,David Wagner,Chevrolet,F-150,2016,33502,0.122923326,4118.18
7/14/2022,Amber Cooper,Claire Day,Nissan,F-150,2018,30296,0.100170363,3034.76
7/17/2022,Paul Potter,Corey West,Honda,Corolla,2018,28406,0.085246638,2421.52
12/11/2022,Jason Cabrera,Rebecca Hansen,Chevrolet,F-150,2012,20725,0.145073441,3006.65
7/18/2022,Brenda Morales,Jason Hahn,Ford,Altima,2011,23330,0.068980756,1609.32
5/13/2022,Christian Williams,Jerry Baker,Chevrolet,Silverado,2019,41216,0.12869098,5304.13
9/5/2022,Stephanie Trujillo,April Morales,Ford,Silverado,2022,43188,0.099220141,4285.12
12/30/2022,Shawn Cummings,Kelly Beasley,Chevrolet,Altima,2013,15064,0.053381651,804.14
7/2/2022,Lacey Cooper,Jennifer Brown,Toyota,Altima,2015,36019,0.098335927,3541.96
2/4/2023,Jennifer Stevens MD,Brittany Gonzales,Chevrolet,Civic,2019,23249,0.141622041,3292.57
10/8/2022,Kristen Becker,Ryan Medina,Nissan,Civic,2016,38278,0.056340279,2156.59
1/24/2023,Julie Aguirre,Timothy Mccoy,Nissan,Silverado,2018,38307,0.07953119,3046.6
4/15/2023,Victor Murillo,Matthew Anderson,Chevrolet,Corolla,2015,36834,0.080895726,2979.71
8/10/2022,Nicole Williams,Richard Wolf,Ford,Civic,2012,31941,0.102854838,3285.29
5/25/2022,Heather Davidson,Rachel Madden,Honda,Civic,2011,17997,0.062692864,1128.28
2/15/2023,Betty Young,Lynn Villarreal,Honda,Corolla,2015,44250,0.115044401,5090.71
4/18/2023,Chad Davis,Jesse Dunn,Nissan,Corolla,2013,13194,0.118621261,1565.09
11/14/2022,Lauren Hernandez,Amanda Combs,Ford,Civic,2012,29108,0.122976628,3579.6
5/24/2022,David Diaz,Amy Sanchez,Chevrolet,F-150,2013,26168,0.136261663,3565.7
3/23/2023,Brian Moran,Matthew Peterson,Chevrolet,Civic,2013,14864,0.077744275,1155.59
9/3/2022,Amanda Butler,Sabrina Williams,Toyota,Corolla,2012,28564,0.061851657,1766.73
7/2/2022,Jacob Bishop,Marc Caldwell,Nissan,Corolla,2021,21224,0.093014227,1974.13
12/16/2022,Michael Walton,Edgar Smith,Nissan,Corolla,2011,29018,0.145968717,4235.72
3/13/2023,John Newton,Carrie Hudson,Toyota,F-150,2016,45367,0.081734072,3708.03
8/17/2022,Kristen Martinez,Colleen Fischer,Chevrolet,Altima,2021,17832,0.051852876,924.64
1/3/2023,Kimberly Maldonado,Kristine Hernandez,Ford,Civic,2014,39908,0.108985073,4349.38
11/30/2022,Tara Hubbard,Virginia Joyce,Toyota,Corolla,2016,14609,0.091409362,1335.4
4/13/2023,Valerie Sanchez,Carlos Fields,Nissan,Altima,2022,13508,0.146756353,1982.38
12/24/2022,Kevin Mitchell,Christie Odonnell,Chevrolet,F-150,2022,13280,0.122885977,1631.93
2/11/2023,David Gomez,Linda Conrad,Nissan,Altima,2019,46164,0.144673804,6678.72
8/10/2022,Rebecca Pearson,Randall Thompson,Ford,F-150,2013,14744,0.085092622,1254.61
5/20/2022,Jessica Flores,Carol Turner,Ford,Civic,2014,27999,0.09029834,2528.26
7/19/2022,Joseph Patterson,James Velazquez,Honda,Corolla,2010,24327,0.095457332,2322.19
1/20/2023,Carrie Gordon,Joseph Marquez,Honda,Silverado,2015,35989,0.105519996,3797.56
4/19/2023,Christina Avery,Courtney Miller,Nissan,Silverado,2017,21618,0.145337945,3141.92
10/7/2022,Monique Green,Audrey Perry,Toyota,Corolla,2022,26862,0.09513501,2555.52
11/18/2022,Tom Hunt,Tammy Wood,Chevrolet,F-150,2010,36750,0.102445532,3764.87
2/1/2023,Walter Robinson,Jeffrey Gillespie,Honda,Civic,2020,19526,0.128314718,2505.47
1/24/2023,Robert Gordon,Jennifer Cohen,Chevrolet,F-150,2019,26875,0.115654698,3108.22
6/4/2022,Michelle Moore,Sharon Brooks,Ford,Civic,2019,10371,0.104990942,1088.86
1/6/2023,Lindsey Knight,Haley Sanders,Nissan,Altima,2019,13649,0.123331663,1683.35
10/4/2022,Christopher Taylor,Denise Carter,Chevrolet,F-150,2017,29518,0.072624228,2143.72
1/3/2023,Kathy Evans,Claudia Ali,Toyota,Altima,2022,43019,0.146540852,6304.04
11/16/2022,Katherine Harris,Lori Byrd,Ford,Altima,2022,33493,0.146898115,4920.06
4/3/2023,Laura Huff,Michael Lewis,Chevrolet,Altima,2017,26262,0.123232015,3236.32
8/25/2022,Charles Cruz,Debra Hudson,Toyota,Altima,2015,18282,0.148180712,2709.04
4/12/2023,Hayley Day,Anthony Glover,Honda,F-150,2015,48916,0.099833576,4883.46
4/1/2023,Hunter King,Toni Acosta,Toyota,Civic,2016,48163,0.131807447,6348.24
8/8/2022,Kimberly Rasmussen,Brian Lamb,Nissan,Civic,2016,45824,0.105823117,4849.24
2/19/2023,Shawn Mullen,Jeremy Jones,Nissan,Civic,2018,16314,0.149343526,2436.39
5/10/2022,Matthew Campos,Brandon Kim,Chevrolet,Silverado,2016,19018,0.067879558,1290.93
5/14/2022,Tyler Freeman,Shannon Sutton,Honda,Altima,2021,27067,0.104673188,2833.19
10/16/2022,Matthew Ortiz,Mr. Kyle Patrick MD,Honda,Civic,2022,31238,0.098555281,3078.67
2/1/2023,Anna Johnson,Damon Baker,Chevrolet,Civic,2012,28865,0.124313596,3588.31
2/23/2023,Carl Miller,Amy Burns,Honda,Corolla,2012,25187,0.08328041,2097.58
9/8/2022,Ashley English,Adrian Miller,Chevrolet,Corolla,2022,45561,0.116254342,5296.66
6/9/2022,Mark Mayo,Jesse Walker,Chevrolet,F-150,2014,15751,0.102110742,1608.35
6/1/2022,Becky Stafford,Seth Horne,Nissan,Silverado,2016,24664,0.124724337,3076.2
5/24/2022,Shaun Johnson,Zachary Freeman,Toyota,Civic,2012,46092,0.079424325,3660.83
9/23/2022,Deanna Rodriguez,Christopher Cruz,Toyota,Corolla,2014,32968,0.118714078,3913.77
6/13/2022,Jennifer Wallace,Michael Smith,Ford,Corolla,2011,13261,0.124442405,1650.23
2/14/2023,Matthew Walker,Mary Perry,Chevrolet,Corolla,2019,45162,0.133706822,6038.47
3/16/2023,Kenneth Fields,Audrey Gomez,Honda,Civic,2018,28160,0.092253837,2597.87
4/4/2023,Deborah Whitney,Sarah Watkins,Ford,Civic,2013,45334,0.136882742,6205.44
9/21/2022,David Wood,Brent Mays,Toyota,Altima,2013,24034,0.091313069,2194.62
6/23/2022,Christopher Oneill,Phillip Cox,Toyota,Altima,2022,18209,0.0972776,1771.33
6/4/2022,William Daniel,Jamie Smith,Honda,Corolla,2015,23255,0.054744915,1273.09
12/2/2022,Stephen Ward,Chase Oneill,Ford,Corolla,2022,17038,0.081520369,1388.94
1/23/2023,Donald Guerra,John Goodwin,Ford,Altima,2020,25964,0.098218645,2550.15
3/13/2023,Alyssa Boyd,James Turner,Nissan,F-150,2016,10872,0.109546904,1190.99
12/31/2022,Ryan Barnes,Mary Wong,Toyota,Silverado,2018,17650,0.105740363,1866.32
12/29/2022,Megan Kaiser,Christopher Alexander,Ford,Civic,2013,25256,0.055620882,1404.76
4/16/2023,Michael Jordan,Thomas Blankenship,Chevrolet,Altima,2014,31462,0.103951021,3270.51
